epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.2937,2.6336,0.30667,0.724,2.21345,0.000173896,0.000173896,0.000173896
2,22.9859,1.96827,0.61333,0.89733,1.40186,0.000331943,0.000331943,0.000331943
3,33.3747,1.50549,0.748,0.95867,0.88657,0.000472631,0.000472631,0.000472631
4,45.3169,1.21672,0.83333,0.98267,0.6199,0.000447889,0.000447889,0.000447889
5,55.0583,1.00498,0.88667,0.99067,0.4464,0.000421852,0.000421852,0.000421852
6,64.8808,0.87242,0.916,0.99467,0.3293,0.000395815,0.000395815,0.000395815
7,75.1196,0.78714,0.928,0.99733,0.27319,0.000369778,0.000369778,0.000369778
8,86.7169,0.74199,0.952,0.99867,0.19026,0.000343741,0.000343741,0.000343741
9,100.483,0.6653,0.964,1,0.16416,0.000317704,0.000317704,0.000317704
10,113.116,0.6392,0.952,1,0.17419,0.000291667,0.000291667,0.000291667
11,122.833,0.54597,0.96667,1,0.13861,0.00026563,0.00026563,0.00026563
12,132.761,0.57836,0.96667,1,0.12051,0.000239593,0.000239593,0.000239593
13,142.637,0.55146,0.97867,1,0.1,0.000213556,0.000213556,0.000213556
14,152.521,0.51477,0.98533,1,0.08159,0.000187519,0.000187519,0.000187519
15,162.447,0.47797,0.98,1,0.09445,0.000161482,0.000161482,0.000161482
16,172.02,0.49168,0.98,1,0.07022,0.000135445,0.000135445,0.000135445
17,181.8,0.4729,0.98133,1,0.07064,0.000109408,0.000109408,0.000109408
18,191.502,0.46746,0.98133,1,0.06631,8.3371e-05,8.3371e-05,8.3371e-05
19,200.965,0.44114,0.98533,1,0.05912,5.7334e-05,5.7334e-05,5.7334e-05
20,210.653,0.44728,0.98533,1,0.06592,3.1297e-05,3.1297e-05,3.1297e-05
